Domain,Area,Element,Months,Year,Unit,Value
"Temperature change","India","Temperature change","Meteorological year","1961","°C","-0.153"
"Temperature change","India","Temperature change","Meteorological year","1962","°C","-0.323"
"Temperature change","India","Temperature change","Meteorological year","1963","°C","-0.016"
"Temperature change","India","Temperature change","Meteorological year","1964","°C","-0.075"
"Temperature change","India","Temperature change","Meteorological year","1965","°C","-0.117"
"Temperature change","India","Temperature change","Meteorological year","1966","°C","0.269"
"Temperature change","India","Temperature change","Meteorological year","1967","°C","-0.238"
"Temperature change","India","Temperature change","Meteorological year","1968","°C","-0.193"
"Temperature change","India","Temperature change","Meteorological year","1969","°C","0.335"
"Temperature change","India","Temperature change","Meteorological year","1970","°C","0.06"
"Temperature change","India","Temperature change","Meteorological year","1971","°C","-0.474"
"Temperature change","India","Temperature change","Meteorological year","1972","°C","-0.024"
"Temperature change","India","Temperature change","Meteorological year","1973","°C","0.264"
"Temperature change","India","Temperature change","Meteorological year","1974","°C","-0.038"
"Temperature change","India","Temperature change","Meteorological year","1975","°C","-0.344"
"Temperature change","India","Temperature change","Meteorological year","1976","°C","-0.1"
"Temperature change","India","Temperature change","Meteorological year","1977","°C","0.089"
"Temperature change","India","Temperature change","Meteorological year","1978","°C","-0.091"
"Temperature change","India","Temperature change","Meteorological year","1979","°C","0.337"
"Temperature change","India","Temperature change","Meteorological year","1980","°C","0.436"
"Temperature change","India","Temperature change","Meteorological year","1981","°C","0.108"
"Temperature change","India","Temperature change","Meteorological year","1982","°C","-0.013"
"Temperature change","India","Temperature change","Meteorological year","1983","°C","-0.131"
"Temperature change","India","Temperature change","Meteorological year","1984","°C","-0.113"
"Temperature change","India","Temperature change","Meteorological year","1985","°C","0.194"
"Temperature change","India","Temperature change","Meteorological year","1986","°C","0.14"
"Temperature change","India","Temperature change","Meteorological year","1987","°C","0.561"
"Temperature change","India","Temperature change","Meteorological year","1988","°C","0.558"
"Temperature change","India","Temperature change","Meteorological year","1989","°C","0.102"
"Temperature change","India","Temperature change","Meteorological year","1990","°C","0.031"
"Temperature change","India","Temperature change","Meteorological year","1991","°C","0.283"
"Temperature change","India","Temperature change","Meteorological year","1992","°C","0.141"
"Temperature change","India","Temperature change","Meteorological year","1993","°C","0.384"
"Temperature change","India","Temperature change","Meteorological year","1994","°C","0.211"
"Temperature change","India","Temperature change","Meteorological year","1995","°C","0.269"
"Temperature change","India","Temperature change","Meteorological year","1996","°C","0.384"
"Temperature change","India","Temperature change","Meteorological year","1997","°C","-0.07"
"Temperature change","India","Temperature change","Meteorological year","1998","°C","0.643"
"Temperature change","India","Temperature change","Meteorological year","1999","°C","0.483"
"Temperature change","India","Temperature change","Meteorological year","2000","°C","0.338"
"Temperature change","India","Temperature change","Meteorological year","2001","°C","0.385"
"Temperature change","India","Temperature change","Meteorological year","2002","°C","0.73"
"Temperature change","India","Temperature change","Meteorological year","2003","°C","0.601"
"Temperature change","India","Temperature change","Meteorological year","2004","°C","0.525"
"Temperature change","India","Temperature change","Meteorological year","2005","°C","0.461"
"Temperature change","India","Temperature change","Meteorological year","2006","°C","0.578"
"Temperature change","India","Temperature change","Meteorological year","2007","°C","0.559"
"Temperature change","India","Temperature change","Meteorological year","2008","°C","0.218"
"Temperature change","India","Temperature change","Meteorological year","2009","°C","1.144"
"Temperature change","India","Temperature change","Meteorological year","2010","°C","1.148"
"Temperature change","India","Temperature change","Meteorological year","2011","°C","0.425"
"Temperature change","India","Temperature change","Meteorological year","2012","°C","0.465"
"Temperature change","India","Temperature change","Meteorological year","2013","°C","0.392"
"Temperature change","India","Temperature change","Meteorological year","2014","°C","0.594"
"Temperature change","India","Temperature change","Meteorological year","2015","°C","0.649"
"Temperature change","India","Temperature change","Meteorological year","2016","°C","1.037"
